Row Number,Matched Rules,0,1,2,3,4,5
95,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}"
97,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
98,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 2})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 2}",,,,
99,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}"
102,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
103,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
104,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
105,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
107,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
108,"({'Rule': '(no_of_nodes_in > 1.5) && (changes_in_stru <= 4.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in > 1.5) && (changes_in_stru <= 4.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,
109,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
110,"({'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,
112,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
114,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
115,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
116,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
117,"({'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,,
123,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
126,"({'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,,
127,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,
128,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
129,"({'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,,
131,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
133,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
134,"({'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in > 3.5) && (changes_in_stru > 5.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in > 3.5) && (changes_in_stru > 5.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5}",,,
137,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 2})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 2}",,,,
138,"({'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4})","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}",,,
141,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
145,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",
147,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,
148,"({'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4})","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}",,,
