Order,Length_1,Length_2,Length_3,Length_4,Length_5,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5
33,6,6,5,8,7,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms <= 2.5) & (changes_in_node > 1.5) & (special_forms <= 1.5) & (dislocation_of > 1.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (exclusion_of_no <= 1.5) & (changes_in_stru > 5.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (changes_in_stru > 4.0),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (changes_in_lym > 1.5) & (changes_in_node <= 2.5) & (changes_in_stru > 6.5) & (special_forms <= 1.5),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no <= 1.5) & (changes_in_stru > 5.5)
34,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
35,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
36,6,6,6,,,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),,
37,6,9,3,3,3,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of <= 1.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 5.5) & (changes_in_node <= 3.0) & (changes_in_stru > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym <= 1.5),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in > 3.0),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in > 3.0)
38,4,5,5,7,4,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (no_of_nodes_in > 1.5) & (special_forms > 2.5) & (changes_in_stru <= 5.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in > 4.5)
39,4,11,8,7,8,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 1.5) & (defect_in_node <= 3.5) & (changes_in_stru <= 4.5) & (defect_in_node <= 2.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_lym > 2.5) & (defect_in_node <= 3.5) & (defect_in_node <= 2.5) & (changes_in_node > 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (no_of_nodes_in > 1.5) & (special_forms > 2.5) & (changes_in_stru <= 5.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru <= 6.5) & (changes_in_stru <= 5.5) & (special_forms > 2.5) & (exclusion_of_no > 1.5)
40,6,4,4,5,5,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms <= 2.5) & (changes_in_node <= 1.5) & (dislocation_of > 1.5) & (no_of_nodes_in > 1.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 4.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 4.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 5.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 5.5)
41,6,6,6,4,8,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of <= 1.5) & (changes_in_node > 2.5) & (changes_in_stru <= 3.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru <= 3.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_lym <= 2.5) & (special_forms > 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru <= 6.5) & (changes_in_stru <= 5.5) & (special_forms > 2.5) & (exclusion_of_no > 1.5)
42,6,5,5,5,5,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 6.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (defect_in_node <= 3.0),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (defect_in_node <= 3.0),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_lym <= 2.5) & (no_of_nodes_in <= 6.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (early_uptake_in > 1.5)
43,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
45,6,5,5,5,5,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (no_of_nodes_in > 6.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (defect_in_node > 3.0),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (defect_in_node > 3.0),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_lym <= 2.5) & (no_of_nodes_in > 6.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (early_uptake_in <= 1.5)
46,8,7,4,5,,(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node <= 2.5) & (changes_in_stru > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_lym <= 2.5) & (special_forms <= 2.5) & (changes_in_node <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru > 6.5),
47,6,6,,,,(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),,,
48,5,5,8,,,(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (exclusion_of_no > 1.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (changes_in_stru > 4.0),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no > 1.5) & (changes_in_stru > 6.5) & (special_forms <= 1.5),,
49,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
50,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
51,6,5,7,5,7,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms <= 2.5) & (changes_in_node > 1.5) & (special_forms <= 1.5) & (dislocation_of > 1.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (exclusion_of_no > 1.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (changes_in_stru <= 4.0) & (changes_in_stru > 2.5) & (changes_in_lym <= 1.5),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (changes_in_lym <= 1.5),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no > 1.5) & (changes_in_stru <= 6.5)
52,2,4,4,4,4,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (changes_in_stru > 6.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (changes_in_stru > 6.5)
53,7,10,10,8,7,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms <= 2.5) & (changes_in_node > 1.5) & (special_forms > 1.5) & (changes_in_stru > 3.5) & (changes_in_stru <= 6.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 1.5) & (defect_in_node > 3.5) & (changes_in_stru <= 6.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_lym <= 2.5) & (special_forms <= 2.5) & (changes_in_node > 2.5) & (changes_in_node <= 3.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru <= 6.5),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (changes_in_lym > 1.5) & (changes_in_node > 2.5) & (changes_in_stru > 3.5) & (no_of_nodes_in <= 1.5),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no > 1.5) & (changes_in_stru <= 6.5)
54,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
55,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
56,4,6,9,,,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru <= 3.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru <= 6.5) & (changes_in_stru <= 5.5) & (special_forms > 2.5) & (exclusion_of_no <= 1.5) & (changes_in_stru <= 4.0),,
57,4,8,6,4,5,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 5.5) & (changes_in_stru > 7.0),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (defect_in_node > 3.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru > 6.5)
58,5,4,4,4,4,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_lym > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node > 2.5)
59,2,5,5,5,5,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (changes_in_lym > 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5)
61,2,5,5,4,4,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in > 4.5)
62,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
63,2,6,6,4,8,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in <= 3.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (defect_in_node > 3.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru <= 6.5) & (changes_in_stru <= 5.5) & (special_forms > 2.5) & (exclusion_of_no > 1.5)
64,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
65,6,6,6,6,,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),
66,2,5,5,4,4,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in > 4.5)
67,2,5,5,7,4,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (no_of_nodes_in > 1.5) & (special_forms > 2.5) & (changes_in_stru <= 5.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in > 4.5)
68,7,6,7,7,7,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (changes_in_stru <= 6.0),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (special_forms <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms <= 2.5)
