Rule,class,Length
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-x <= 0.5) & (bottom-left-square-b > 0.5) & (bottom-right-square-o <= 0.5),positive,15
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-x <= 0.5) & (bottom-left-square-b > 0.5) & (bottom-right-square-o > 0.5),negative,15
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-x > 0.5),positive,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b <= 0.5) & (bottom-right-square-x > 0.5),negative,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b > 0.5) & (bottom-middle-square-x <= 0.5),positive,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (bottom-right-square-b <= 0.5),positive,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (bottom-right-square-b > 0.5) & (bottom-left-square-b <= 0.5),positive,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (bottom-right-square-b > 0.5) & (bottom-left-square-b > 0.5),negative,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-right-square-o > 0.5),negative,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b > 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-o > 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-b > 0.5),negative,7
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),positive,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (middle-right-square-b <= 0.5),positive,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (middle-right-square-b > 0.5),negative,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-o > 0.5),negative,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-x > 0.5),positive,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-o <= 0.5),positive,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-x <= 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (middle-right-square-b <= 0.5),positive,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (middle-right-square-b > 0.5) & (bottom-left-square-x <= 0.5),negative,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (middle-right-square-b > 0.5) & (bottom-left-square-x > 0.5),positive,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5),negative,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5),positive,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b > 0.5),negative,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-o > 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-b <= 0.5),positive,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-b > 0.5),negative,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5),negative,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o > 0.5),positive,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-x <= 0.5),negative,14
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-x > 0.5),positive,14
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-b > 0.5),positive,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-left-square-x > 0.5),positive,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5),negative,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x > 0.5) & (bottom-left-square-b <= 0.5),positive,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-x > 0.5) & (bottom-left-square-b > 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b > 0.5) & (bottom-middle-square-x <= 0.5),positive,8
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b > 0.5) & (bottom-middle-square-x > 0.5),negative,8
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b > 0.5),negative,6
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5),negative,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o > 0.5),positive,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5),negative,8
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o <= 0.5),positive,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-b <= 0.5),positive,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-b > 0.5),negative,11
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x > 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5),positive,9
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (top-right-square-b <= 0.5),positive,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (top-right-square-b > 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b > 0.5) & (bottom-left-square-b <= 0.5),negative,7
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b > 0.5) & (bottom-left-square-b > 0.5),positive,7
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b > 0.5),positive,5
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b <= 0.5),negative,4
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),positive,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5) & (bottom-left-square-o > 0.5),negative,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-x <= 0.5),positive,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-x > 0.5),negative,13
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5),negative,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5),positive,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x > 0.5),negative,12
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b > 0.5),positive,10
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b > 0.5),negative,8
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b > 0.5),positive,7
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x > 0.5),positive,6
(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-b > 0.5) & (bottom-right-square-b > 0.5),positive,5
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b <= 0.5),positive,10
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-b <= 0.5),positive,11
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5),negative,12
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),negative,14
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),positive,14
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b > 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5),positive,13
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (top-left-square-b <= 0.5),positive,11
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (top-left-square-b > 0.5) & (bottom-right-square-b <= 0.5),positive,12
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (top-left-square-b > 0.5) & (bottom-right-square-b > 0.5),negative,12
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-x <= 0.5),negative,11
(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b <= 0.5) & (bottom-right-square-x <= 0.5),negative,13
