Row Number,Matched Rules,0,1,2,3
113,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
115,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
116,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
117,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
118,"({'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,
126,"({'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,
127,"({'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,
128,"({'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(changes_in_stru <= 4.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(changes_in_stru <= 4.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,
130,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
132,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_stru > 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5})","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_stru > 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5}",,
135,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
136,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 2}",,
137,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}, {'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}","{'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5}",
140,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
141,"({'Rule': '(changes_in_stru <= 5.5) && (changes_in_node <= 3.0) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 5},)","{'Rule': '(changes_in_stru <= 5.5) && (changes_in_node <= 3.0) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 5}",,,
142,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
145,"({'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
147,"({'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
148,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}, {'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}","{'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5}",
