Rule,class,Length
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-o <= 0.5) & (top-left-square-b <= 0.5) & (top-right-square-b > 0.5),negative,9
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-o <= 0.5) & (top-left-square-b > 0.5) & (bottom-middle-square-o <= 0.5),positive,9
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-o <= 0.5) & (top-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5),negative,10
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-o <= 0.5) & (top-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-x > 0.5),positive,10
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5),negative,8
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-o > 0.5) & (bottom-middle-square-o > 0.5),positive,8
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b > 0.5),negative,6
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o > 0.5) & (top-right-square-x <= 0.5),positive,6
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5),negative,7
(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x > 0.5),positive,7
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5),positive,4
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),positive,6
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-right-square-x <= 0.5),positive,7
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),negative,7
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),negative,5
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o <= 0.5),positive,7
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative,10
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5),negative,11
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5),positive,11
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-o > 0.5),positive,9
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-b > 0.5),negative,8
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (bottom-left-square-x <= 0.5),negative,11
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (bottom-left-square-x > 0.5),positive,11
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-left-square-x <= 0.5),positive,11
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-left-square-x > 0.5),negative,11
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (bottom-left-square-b > 0.5),positive,9
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b > 0.5),positive,8
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-o > 0.5),positive,7
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-o <= 0.5),negative,6
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-left-square-o <= 0.5),positive,9
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5),negative,9
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-middle-square-o > 0.5),negative,8
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x > 0.5),positive,7
(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),negative,4
